QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20150317_000002	Estatua de la Diosa Vakarine	여신 바카리네의 상					
QUEST_20150317_000003	Seleccionar grupo	지역을 선택해주세요.				여신 바카리네의 상	
QUEST_20150317_000004	Seleccionar grupo	선택					
QUEST_20150317_000005	Seleccionar grupo	아이템을 선택해주세요.					
QUEST_20150317_000006	Seleccionar grupo	그룹 선택					
QUEST_20150317_000007	Por favor, selecciona un grupo de inicio rápido.	치트 스타트 그룹을 선택하세요.				그룹 선택	
QUEST_20150317_000008	Por favor seleccione una zona de inicio.	존 선택				Basic	
QUEST_20150317_000009	Por favor seleccione una zona de inicio.	시작할 존을 선택하세요.				존 선택	
QUEST_20150317_000010	Seleccionar avance	전직 선택					
QUEST_20150317_000011	Por favor, selecciona una clase.	원하시는 직업을 선택하세요.				전직 선택	
QUEST_20150317_000012	Maestra Bokor	보코르 마스터					
QUEST_20150317_000013	Entonces tienes curiosidad por esta pizarra de piedra. {nl}Si lo deseas te mostraré el testamento de su creador.	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.				보코르 마스터	
QUEST_20150317_000014	Diosa Laima	여신 라이마					
QUEST_20150317_000015	Para cuando recibas este mensaje habrá pasado mucho tiempo. {nl}Soy Laima, la diosa del destino y la sabiduría.	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}				수정광산의 계시	
QUEST_20150317_000016	Hace 600 años, mientras creaba esta revelación, preví mucha muerte y sufrimiento. {nl}Si estás viendo esto, me temo que lo que preví ha sucedido.	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}				수정광산의 계시	
QUEST_20150317_000017	Los demonios han iniciado el primero de los cataclismos y las diosas han desaparecido. {nl}Sabía que todo esto sucedería e hice todo lo que pude para evitarlo, pero mi poder no fue suficiente.	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}				수정광산의 계시	
QUEST_20150317_000018	En cambio, deambulé entre sueños clarividentes en busca de una respuesta. {nl}Tú estabas al final de ellos... un Salvador.	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}				여신 라이마	
QUEST_20150317_000019	Desafortunadamente, los demonios no pudieron quedarse quietos, sabiendo que poseo fuerza en clarividencia. {nl}I se vio obligado a ocultarse hasta el momento de su aparición.	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}				수정광산의 계시	
QUEST_20150317_000020	Decidí dividir mi ser y permanecer dentro de muchas revelaciones. {nl} Revelaciones que seguí creando en secreto durante un milenio.	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}				수정광산의 계시	
QUEST_20150317_000021	Salvador, si puedes ayudarme a recuperar mi forma, podremos detener los siniestros planes de los demonios. {nl}Debes recuperar las revelaciones que he ocultado a lo largo de cada eje del tiempo.	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.				여신 라이마	
QUEST_20150317_000022	Esta tarea divina puede ser una carga pesada, pero es algo que debéis soportar. {nl}Quizás en medio del barro de tus pruebas y tribulaciones, algo pueda suceder.	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}				수정광산의 계시	
QUEST_20150317_000023	Sin embargo, sólo nosotros podemos salvar este mundo.	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}				여신 라이마	
QUEST_20150317_000024	Le he pasado la siguiente revelación al primer Paladín. {nl}Te estará esperando en el jardín de flores más alto.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.				여신 라이마	
QUEST_20150317_000025	Bueno, deberías darte prisa e ir a buscar a Sir Uska. {nl}Él le dirá a dónde ir a continuación. Que la diosa bendiga tu destino...	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.				보코르 마스터	
QUEST_20150317_000026	Bueno, deberías darte prisa e ir a buscar a Sir Uska. {nl}Él le dirá a dónde ir a continuación. {nl}Que la diosa bendiga tu destino...	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..				보코르 마스터	
QUEST_20150317_000027	Seleccione el Smart Gen preferido.	원하는 스마트젠을 선택하세요.				선택	
QUEST_20150317_000028	Guillermo	윌리엄					
QUEST_20150317_000029	La tarifa es 100 monedas de plata. {nl}Es más barato que atravesar Monster Central.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.					
QUEST_20150317_000030	Cyneburg	캔버그					
QUEST_20150317_000031	Serán 100 monedas de plata. {nl}Eso cubrirá operaciones, mano de obra y otros gastos.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.					
QUEST_20150317_000032	Oye, espera un minuto. {nl}Sabes que necesitas más que eso...	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..					
QUEST_20150317_000033	¡Eso no está bien! {nl}I no puede funcionar en vano, ni siquiera para un Revelador.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.					
QUEST_20150317_000034	Comerciante errante	방랑 상인					
QUEST_20150317_000035	Como las semillas de un diente de león, soy simplemente alguien que sigue al viento. {nl}Ya que nos conocemos de una manera tan curiosa, ¿quizás podrías tomarte un momento para ver mis curiosidades?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?				방랑 상인	
QUEST_20150317_000036	Cristina	크리스티나					
QUEST_20150317_000037	¡Bienvenido! {nl}Estás buscando un compañero de viaje, ¿verdad? {nl}¡No encontrarás un mejor lugar para socios que aquí!	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.				크리스티나	
QUEST_20150317_000038	Puedes hacer que tus compañeros te vean luchar o entrenar atributos especiales. {nl} ¡Gana suficiente afecto e incluso podrás comprar algunos equipos geniales!	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}					
QUEST_20150317_000039	¡Aumentar el afecto de tu compañero aumentará la resistencia y la evasión al montar! {nl} Entonces, ¿qué opinas? ¿Es eso suficiente para que consideres uno?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?					
QUEST_20150317_000040	La caja requiere una llave que coincida.	상자에 맞는 열쇠가 필요합니다.					
QUEST_20150317_000041	Seleccionar misión	퀘스트 선택					
QUEST_20150317_000042	Modificar el estado de la misión	퀘스트 상태변경				퀘스트 상태변경	
