INTL_20160320_000001	+1 entrada extra de instancia para misiones y mazmorras	인던,미션 1회 추가입장				
INTL_20160320_000002	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +20% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes usar Comercio Personal hasta 60 veces{nl}- 1 entrada extra de instancia para misiones y mazmorras{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능				
INTL_20160320_000003	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes usar Comercio Personal hasta 60 veces{nl}- 1 entrada extra de instancia para misiones y mazmorras{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	INTL_20160320_000002	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +20% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes usar Comercio Personal hasta 60 veces{nl}- 1 entrada extra de instancia para misiones y mazmorras{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160323_000004	- Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - Solo puedes comerciar hasta 30 veces{nl	- 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3{nl} - 미션,던전 1회 추가입장{nl} - 최대 버프 적용 개수 증가{nl} - 프리미엄 제스쳐 사용 가능{nl}				
INTL_20160326_000005	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160320_000003	Contiene una variedad de beneficios especiales para todos tus personajes en este servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl}- Puedes usar Comercio Personal hasta 60 veces{nl}- 1 entrada extra de instancia para misiones y mazmorras{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 인던,미션 추가 1회 입장가능	
INTL_20160326_000006	Token: 30 Días	토큰:30일				
INTL_20160329_000007	Caja de Pergaminos para Encantar x10	마법 부여 스크롤 10개 상자				
INTL_20160329_000008	Contiene 10 Pergaminos de Encantamiento. Haz clic derecho para usar.	사용 시 마법 부여 스크롤 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
INTL_20160329_000009	Caja de 10x Megáfonos	확성기 10개 상자				
INTL_20160329_000010	Contiene 10 Megáfonos. Haz clic derecho para usar.	사용 시 확성기 10개를 획득합니다. 마우스 우클릭으로 사용합니다.				
