QUEST_LV_0200_20150317_000001	Soldado de Felipe
QUEST_LV_0200_20150317_000002	Los ataques de los monstruos se están volviendo más violentos. {nl} Estoy decidido a tener éxito, pero también temo por nuestra seguridad.
QUEST_LV_0200_20150317_000003	No importa: puedo renunciar a mi vida hoy o ser un hombre muerto mañana.
QUEST_LV_0200_20150317_000004	Comandante Vacenin
QUEST_LV_0200_20150317_000005	De alguna manera, necesitamos resolver nuestra escasez de suministros y fuerzas{nl}. Una vez que logremos eso, podremos atravesar el bosque, poco a poco.
QUEST_LV_0200_20150317_000006	Aunque todos estemos cansados, no podemos rendirnos hasta que Kateen Forest vuelva a ser nuestro.
QUEST_LV_0200_20150317_000007	Oficial superior Philip
QUEST_LV_0200_20150317_000008	Deseo un mundo pacífico. {nl}Para que esto suceda, necesito trabajar más.
QUEST_LV_0200_20150317_000009	Haré lo que sea para recuperar este bosque de los monstruos. {nl} Vale la pena arriesgar mi vida por ello.
QUEST_LV_0200_20150317_000010	Nuestro frente de batalla está compuesto exclusivamente por las tropas de Philipas. {nl} Obedecerán las órdenes de Philipas pase lo que pase.
QUEST_LV_0200_20150317_000011	Vive con la idea de que cualquier momento podría convertirse en el último{nl}. Debemos aprender del pasado y usarlo a nuestro favor.
QUEST_LV_0200_20150317_000012	Oficial Félix
QUEST_LV_0200_20150317_000013	La entrada al bosque de Kateen es bastante segura, pero por favor, absténgase de adentrarse más allá de este punto.
QUEST_LV_0200_20150317_000014	Escultura de búho débil
QUEST_LV_0200_20150317_000015	Mi poder se está debilitando lentamente. {nl} Aunque hay muchas almas que necesitan guía...
QUEST_LV_0200_20150317_000016	Escultura de búho asustado
QUEST_LV_0200_20150317_000017	El poder sagrado del bosque se está debilitando{nl}. ¿Qué será de nosotros cuando desaparezca?
QUEST_LV_0200_20150317_000018	Da demasiado miedo. {nl}Esto nunca sucedió cuando la diosa todavía estaba presente...
QUEST_LV_0200_20150317_000019	Escultura de búho sincero
QUEST_LV_0200_20150317_000020	Este bosque está maldito... consume a los búhos. {nl} Casi no tengo nada que pueda infundir valentía en los demás.
QUEST_LV_0200_20150317_000021	Desde que ese enorme árbol surgió repentinamente, este bosque se ha transformado en algo espantoso. {nl} Incluso las raíces de los árboles asustan a cualquiera que las mire fijamente.
QUEST_LV_0200_20150317_000022	Escultura de búho devoto
QUEST_LV_0200_20150317_000023	Alguien fue retenido como rehén. {nl} Tengo la sensación de que va a desaparecer...
QUEST_LV_0200_20150317_000024	La fuerza sagrada creada por la diosa no ha desaparecido por completo{nl}. ¿Podrá contener esta devastación?{nl}
QUEST_LV_0200_20150317_000025	El jefe me dio poder{nl}. No tendré miedo.
QUEST_LV_0200_20150317_000026	Ya no tendré miedo. Jamás seré devorado por monstruos.
QUEST_LV_0200_20150317_000027	Escultura de búho atribulado
QUEST_LV_0200_20150317_000028	Estoy sufriendo todos los días.{nl}Quizás también me coman los monstruos.
QUEST_LV_0200_20150317_000029	Este bosque está cada vez más cubierto de demonios{nl}. ¿Dónde está la diosa?
QUEST_LV_0200_20150317_000030	Fui elegido por el jefe... {nl} Haré todo lo posible para derrotar a los monstruos.
QUEST_LV_0200_20150317_000031	El jefe también está luchando así...{nl}Nunca seré devorado hasta que la diosa regrese.
QUEST_LV_0200_20150317_000032	Búho subordinado 3
QUEST_LV_0200_20150317_000033	Siempre hemos estado aquí, en este lugar, pero ¿dónde está la diosa que siempre nos ha cuidado?
QUEST_LV_0200_20150317_000034	¿Existimos únicamente para guiar las almas humanas?
QUEST_LV_0200_20150317_000035	Soldado Dominic
QUEST_LV_0200_20150317_000036	Me han ordenado proteger este lugar con mi vida y hacer un reconocimiento al mismo tiempo{nl}. No sé exactamente qué esperan que haga.
QUEST_LV_0200_20150317_000037	La próxima vez me aseguraré de que me digan exactamente lo que quieren que haga.{nl}No. ¿No sería mejor preguntarle a Julian?
