ITEM_20150317_000001	casco vacío	없음_helmet			
ITEM_20150317_000002	Casco Murmillo	무르밀로 헬멧			
ITEM_20150317_000003	brazalete vacío	없음_armband			
ITEM_20150317_000004	Brazalete rojo	붉은 암밴드			
ITEM_20150317_000005	Brazalete	암밴드			
ITEM_20150317_000006	Brazalete anudado	매듭진 암밴드			
ITEM_20150317_000007	Brazalete largo	긴 암밴드			
ITEM_20150317_000008	Brazalete de plumas	깃털 장식 암밴드			
ITEM_20150317_000009	Brazalete con borla	술달린 암밴드			
ITEM_20150317_000010	arma_vacía	없음_weapon			
ITEM_20150317_000011	Espada cruda	조악한 글라디우스			
ITEM_20150317_000012	Espada a una mano [Corte]	한손검[베기]			
ITEM_20150317_000013	Un arma habitual en los soldados del Ejército Real. También es común entre los civiles.	글라디우스는 왕국 병사의 기본 무장 중 하나로 민간에서도 널리 사용됩니다.			
ITEM_20150317_000014	Espada	글라디우스			
ITEM_20150317_000015	Esta arma es una versión mejorada de el arma militar.	군용에 비해 성능 향상의 여지를 두고 제조됩니다.			
ITEM_20150317_000016	Falchion Pequeño	로우 폴쳔			
ITEM_20150317_000017	Esta espada es excepcional para cortar.	베기 성능이 우수한 검입니다. 			
ITEM_20150317_000018	Kaskara Pequeño	로우 카스카라			
ITEM_20150317_000019	Debido a su facilidad en la fabricación, esta espada es frecuentemente elegida por los aventureros como su primer reemplazo para su espada de entrenamiento. 	제조가 쉬워서 모험가들이 처음 검을 바꿀 때 많이 선택합니다.			
ITEM_20150317_000020	Cinquedea	친퀘데아			
ITEM_20150317_000021	Recomendada para aquellos que desean una espada más pesada y fuerte. 	더 무겁고 더 강한 검을 원한다면 권장합니다.			
ITEM_20150317_000022	Sable	사브르			
ITEM_20150317_000023	Arma principal de la caballería, optimizada para cortar. El escudo de la empuñadura ayuda a proteger la mano del usuario. 	기병들의 기본 무장이며, 베기에 적합한 구조를 지녔습니다. 검병이 있어 손을 보호하는 효과도 있습니다.			
ITEM_20150317_000024	Espada	샴시르			
ITEM_20150317_000025	La hoja larga de media luna corta con un poder inmenso.	크게 구부러진 초승달 검날이 베기에 위력적입니다.			
ITEM_20150317_000026	Cimitarra	시미터			
ITEM_20150317_000027	Su gran peso está compensado y tiene un corte poderoso. 	무게는 약간 부담스럽지만, 베기에는 그만큼 위력적입니다.			
ITEM_20150317_000028	Kris	크리스			
ITEM_20150317_000029	Su hoja retorcida amplifica el daño que inflige. Una espada practica y estética. 	구불구불한 날이 피해를 크게 입힙니다. 장식과 실용성을 동시에 추구하는 검입니다.			
ITEM_20150317_000030	Puñal	스니커스니			
ITEM_20150317_000031	Su hoja muy afilada hace que sea una de las favoritas entre los espadachines, incluso para los más experimentados. 	절단력이 무척 우수하여 경험많은 검사들도 애용합니다.			
ITEM_20150317_000032	Espada tosca	조악한 샴시르			
ITEM_20150317_000033	Cimitarra tosca	조악한 시미터			
ITEM_20150317_000034	Gladius del soldado	병사의 글라디우스			
ITEM_20150317_000035	Armamento básico proporcionado a los soldados a tiempo completo. Su calidad general es mejor que los que se venden en el mercado.	정규병에게 지급됩니다. 민간제조 글라디우스에 비해 대체로 성능이 좋습니다. 			
ITEM_20150317_000036	Falchion del alcalde	촌장의 폴쳔			
ITEM_20150317_000037	Al observar esta arma, surgen sospechas sobre el pasado de su anterior propietario.	이전 주인의 과거가 의심스러워지는 물건입니다.			
ITEM_20150317_000038	Cáscara cruda	조악한 카스카라			
ITEM_20150317_000039	Moplah	모플라			
ITEM_20150317_000040	Esta espada combina el ser práctica y estética. 	실용성과 미적 감각을 모두 갖춘 검입니다.			
ITEM_20150317_000041	Espada pesada	헤비 글라디우스			
ITEM_20150317_000042	Espada	폴쳔			
ITEM_20150317_000043	Falchion pesado	헤비 폴쳔			
ITEM_20150317_000044	Cáscara	카스카라			
ITEM_20150317_000045	Chinqueda pesada	헤비 친퀘데아			
ITEM_20150317_000046	Sable pesado	헤비 사브르			
ITEM_20150317_000047	Shamshir pesado	헤비 샴시르			
ITEM_20150317_000048	Sable oscuro	던켈 사브르			
ITEM_20150317_000049	Puñal de Dunkel	던켈 스니커스니			
ITEM_20150317_000050	Falchion Dunkel	던켈 폴쳔			
ITEM_20150317_000051	Kaskara oscuro	던켈 카스카라			
