ETC_20150317_000001	Kepa	케파				
ETC_20150317_000002	Kepa no es un monstruo fuerte. Sin embargo, atacarlo sin cuidado podría hacerte llorar.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 				
ETC_20150317_000003	Kepa Grande	대형 케파				
ETC_20150317_000004	Existen personas que a veces intentan comer Kepas Grandes. No los dejes.	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.				
ETC_20150317_000005	Kepa Rojo	붉은 케파				
ETC_20150317_000006	Contrario a la creencia popular, los Kepas Rojos son los que más se parecen al Kepa original.	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.				
ETC_20150317_000007	Kepa Envenenado	중독된 케파				
ETC_20150317_000008	Monstruo	몬스터				
ETC_20150317_000009	Hamming	하밍				
ETC_20150317_000010	A pesar de su dura piel, el Hamming es un monstruo muy débil.	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.				
ETC_20150317_000011	Chinency	치넨시				
ETC_20150317_000012	Originalmente tallos de una planta, el Chinency desde entonces ha evolucionado a su forma actual.	보기와 달리 식물의 줄기가 변형된 몬스터입니다.				
ETC_20150317_000013	Chinency Mutante	변이 치넨시				
ETC_20150317_000014	Yukopus	유코푸스				
ETC_20150317_000015	Se sabe muy poco acerca de la estructura interna del Yukopus.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.				
ETC_20150317_000016	Yukopus Azul	푸른 유코푸스				
ETC_20150317_000017	Yukopus Gris	회색 유코푸스				
ETC_20150317_000018	Dependiendo de su madurez, Este monstruo puede desarrollar diversas técnicas de combate.	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.	ETC_20150317_000015	Very little is known about the Jukopus' internal structure.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.	
ETC_20150317_000019	Pokubon	포쿠본				
ETC_20150317_000020	Pokubon Amarillo	노란 포쿠본				
ETC_20150317_000021	Pokubon Azul	푸른 포쿠본				
ETC_20150317_000022	Hay muchas cosas que debes saber sobre este monstruo. Sobre todo, no te dejes golpear por su embestida.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.				
ETC_20150317_000023	Pokubon Verde	초록 포쿠본				
ETC_20150317_000024	Incluso luego de mutar, su carne es aún comestible.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.	ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20150317_000025	Pokuku Azul	푸른 포쿠부				
ETC_20150317_000026	Banshee	밴시				
ETC_20150317_000027	Las almas de aquellos que se aventuraron al inframundo ahora aparecen como demonios.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.				
ETC_20150317_000028	Banshee Roja	붉은 밴시				
ETC_20150317_000029	Espíritu Maligno	사악한 망령				
ETC_20150317_000030	Un alma que no recibió la guía de la Diosa. Fue engendrado a través de control demoníaco.	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.				
ETC_20150317_000031	Banshee Grande	대형 밴시				
ETC_20150317_000032	Panal	벌통				
ETC_20150317_000033	Panal Azul	푸른 벌통				
ETC_20150317_000034	Panal Gris	회색 벌통				
ETC_20150317_000035	Panal Rojo	붉은 벌통				
ETC_20150317_000036	Araña Arbustera	크루마보				
ETC_20150317_000037	Rondando entre las sombras del bosque, éste monstruo ha evolucionado su tamaño a lo largo del tiempo.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.				
ETC_20150317_000038	Araña Arbustera Negra	검은 크루마보				
ETC_20150317_000039	Araña Arbustera Roja	붉은 크루마보				
ETC_20150317_000040	Araña Arbustera Blanca	하얀 크루마보				
ETC_20150317_000041	Araña Arbustera Amarilla	노란 크루마보				
ETC_20150317_000042	Dionia Desagradable	구역질나는 디오니아				
ETC_20150317_000043	Dionia Poza	디오니아 포자				
ETC_20150317_000044	Fragaras Azul	푸른 프라가라스				
